aeroplane_1920	aeroplane_1930	aeroplane_1940	aeroplane_1950	aeroplane_1960	aeroplane_1970	
airplane	shumann	nor	continued	occurred	stopped	
curtiss	yair	neither	steady	it	thomasina	
fokker	airplane	civil	already	long	ready	
aeroplanes	goldie	great	hum	whizzed	he	
aviation	curtiss	administration	airplane	stranger	told	
corp	hangar	she	hornet	splinters	flagstaff	
aircraft	jiggs	space	when	accident	telling	
motor	motor	force	started	sojourn	schmaltz	
flying	fokker	courts	purring	industries	huntley	

automobile_1920	automobile_1930	automobile_1940	automobile_1950	automobile_1960	automobile_1970	
automobile_1930	auto	auto	auto	auto	auto	
automobile_1940	automobile_1920	automobile_1930	automobile_1930	automobile_1940	automobile_1930	
automobile_1950	automobile_1940	automobile_1920	automobile_1940	automobile_1930	automobile_1960	
auto	automobile_1950	automobile_1950	automobile_1920	automobile_1970	automobile_1940	
car_1930	automobile_1970	automobile_1960	automobile_1960	automobile_1950	automobile_1950	
automobiles	automobiles	cars	automobile_1970	automobile_1920	automobile_1920	
automobile_1960	automobile_1960	automobiles	cars	cars	motor	
automobile_1970	car_1930	automobile_1970	automobiles	automobiles	car_1970	
truck	cars	automotive	car_1950	motor	automotive	

bank_1920	bank_1930	bank_1940	bank_1950	bank_1960	bank_1970	
bank_1930	bank_1920	bank_1930	bank_1940	bank_1930	bank_1960	
banks	banks	bank_1950	bank_1960	bank_1970	bank_1930	
bank_1940	bank_1940	bank_1920	bank_1930	bank_1950	bank_1950	
bank_1950	bank_1960	bank_1960	bank_1970	bank_1940	bank_1940	
bank_1960	bank_1950	banks	bank_1920	bank_1920	bank_1920	
bank_1970	bank_1970	bank_1970	banks	banks	banks	
reserve	reserve	savings	loan	loans	savings	
trust	loans	loans	loans	savings	israeli	
savings	savings	loan	savings	loan	jordan	

camera_1920	camera_1930	camera_1940	camera_1950	camera_1960	camera_1970	
bt	camera_1940	camera_1930	pans	camera_1970	camera_1960	
sht	pans	camera_1950	mcs	camera_1940	camera_1940	
