aeroplane_1920	aeroplane_1930	aeroplane_1940	aeroplane_1950	aeroplane_1960	aeroplane_1970	
powered	cockpit	beame	maximus	fedor	kato	
airship	hangar	additive	moneyman	moving-picture	corinne	
amphibian	dinghy	halevy	jeter	budlong	lue	
airplanes	taxied	stewardesses	marconi	silvester	dishpan	
curtiss	iceberg	cathode	sanger	carboy	johnstone	
airplane	glides	bosch	tempe	stryker	croupier	
anti-aircraft	runway	haber	swale	cyprian	gayety	
rocket	chug	compounding	spurlock	noo	claypool	
rockford	plunger	finitude	lavery	agassi	bobolink	

automobile_1920	automobile_1930	automobile_1940	automobile_1950	automobile_1960	automobile_1970	
auto	auto	auto	auto	auto	auto	
car	motor	airplane	car	automobiles	autos	
motor	automobiles	automobiles	cars	car	automobiles	
sedan	buick	car	automobiles	truck	automotive	
truck	pontiac	motor	motor	chevrolet	cars	
taxicab	car	packard	autos	cars	volkswagen	
automobiles	airplane	appliance	airplane	outboard	taxicab	
horse-drawn	foundry	buick	truck	vans	motorist	
ambulance	chevrolet	chrysler	chevrolet	foundry	rolls-royce	

bank_1920	bank_1930	bank_1940	bank_1950	bank_1960	bank_1970	
banks	banks	banks	banks	banks	banks	
cashier	depositors	deposit	export-import	export-import	calhoun	
federally	deposits	export-import	loan	loan	loan	
discount	export-import	depositors	deposit	deposit	export-import	
loans	deposit	deposits	securities	depositors	gaza	
depositors	rediscount	cashing	deposits	mortgage	fargo	
discounts	kinsey	loans	post-office	loans	deposits	
guaranty	reserve	savings	mortgage	deposits	guaranty	
deposits	banking	dividend	cashier	savings	deposit	

camera_1920	camera_1930	camera_1940	camera_1950	camera_1960	camera_1970	
sht	pans	pans	pans	dollies	dollies	
tilts	panning	exiting	dollies	panning	pans	
heise	laspary	panning	reacts	pans	panning	
kelly	mullin	dollies	vandamm	projector	closeup	
bt	mcs	dinah	exiting	photographing	zoom	
kali	dollies	ms	mcs	speedboat	hector	
moves	mls	exits	nora	bergdorf	cameraman	
coughdrops	fg	cs	cs	corneal	cameras	
sneaks	tomazo	mls	ms	tripod	lorry	

car_1920	car_1930	car_1940	car_1950	car_1960	car_1970	
cars	cab	cars	cars	cars	cars	
automobile	taxi	parked	parked	cadillac	cadillac	
cab	parked	cab	truck	coupe	pickup	
roadster	cars	coupe	sedan	truck	mercedes	
motor	limousine	taxi	limousine	parked	motorcycle	
taxi	sedan	buick	cadillac	sedan	hearse	
taxicab	roadster	hearse	cab	roadster	truck	
sedan	chauffeur	garage	garage	limousine	driveway	
truck	coupe	sedan	jaguar	driveway	bike	

cinema_1920	cinema_1930	cinema_1940	cinema_1950	cinema_1960	cinema_1970	
wagnerian	movie	revue	barrie	carney	cabaret	
metro-goldwyn-mayer	hollywood	nightclub	metro-goldwyn-mayer	gorky	conservatory	
vaudeville	motion-picture	soloist	mgm	concerts	juilliard	
theatres	rko	vaudeville	ziegfeld	nightclubs	exhibitions	
ziegfeld	metro-goldwyn-mayer	lewisohn	nouveau	studios	ziegfeld	
movie	loew	ballet	kraft	juilliard	city-wide	
motion-picture	vaudeville	crosby	faye	repertory	avant-garde	
zita	repertory	philharmonic	patti	faust	gorky	
cinemactress	technicolor	burlesque	shakespearean	shostakovich	louvre	

computer_1920	computer_1930	computer_1940	computer_1950	computer_1960	computer_1970	
jory	deferment	coexistence	calculator	computers	computers	
suture	interact	paperwork	computers	ibm	computerized	
sst	additive	backlash	gadget	computerized	electronics	
spartacus	wundt	ventral	electronic	electronic	electronic	
smeed	bleu	halevy	movable	electronically	data	
mano	perimeter	input	ibm	feedback	circuits	
dmitri	dna	beame	recorders	computation	wiring	
norval	semen	hydrolysis	transistor	monitoring	harlie	
atty	expertise	antibiotic	tapes	experimenter	fingerprint	

cool_1920	cool_1930	cool_1940	cool_1950	cool_1960	cool_1970	
warm	windless	warm	warm	warm	warm	
windless	warm	chilly	sunshine	moist	windless	
breezes	chilly	moist	chilly	cold	quiet	
deliciously	fragrant	balmy	refreshing	quiet	self-possessed	
balmy	autumnal	cold	breezes	humid	humid	
moist	breezes	quiet	restful	cloudy	invigorating	
chilly	cold	damp	limpid	cooler	chilly	
soapy	refreshing	invigorating	moist	windless	damp	
cloudy	restful	sultry	windless	tepid	sultry	

deer_1920	deer_1930	deer_1940	deer_1950	deer_1960	deer_1970	
fowl	quail	antelope	antelope	elk	moose	
antelope	elk	elk	boar	antelope	pheasants	
zebra	panther	boar	rabbits	hares	antelope	
caribou	squirrel	squirrel	caribou	grizzly	caribou	
antlers	boar	squirrels	turkeys	wolves	grouse	
rhinoceros	covey	turkeys	grizzly	reindeer	trout	
rabbit	zebra	coyote	ducks	geese	squirrels	
dodger	geese	quail	quail	squirrels	elk	
quail	coyote	grizzly	pheasants	caribou	boar	

export_1920	export_1930	export_1940	export_1950	export_1960	export_1970	
exporting	imports	exports	exports	exports	exports	
exports	exports	imports	imports	exporters	imports	
currencies	importers	import	importers	imports	import	
importations	importation	exporters	exporters	exporting	tariffs	
imports	exporting	importers	quotas	importer	importers	
shipments	importations	exporting	import	foodstuffs	textiles	
